Timestamp_ms,MotorLeft_Vel,MotorRight_Vel,AccelX,AccelY,AccelZ
1401338,-1.75,-1.66,0.36,-0.47,9.74
1401348,-1.69,-1.57,0.32,-0.33,9.75
1401358,-1.58,-1.52,0.31,-0.03,9.76
1401368,-1.49,-1.40,0.19,0.24,9.69
1401378,-1.37,-1.38,0.24,0.42,9.81
1401388,-1.32,-1.39,0.21,0.33,9.73
1401398,-1.28,-1.33,0.15,0.23,9.82
1401408,-1.18,-1.34,0.32,-0.08,9.80
1401418,-1.17,-1.26,0.24,-0.27,9.82
1401428,-1.07,-1.23,0.16,-0.24,10.00
1401438,-1.08,-1.31,0.23,-0.11,9.95
1401448,-1.08,-1.34,0.23,0.02,9.92
1401458,-1.00,-1.34,0.16,0.31,9.78
1401468,-1.03,-1.35,0.24,0.48,9.95
1401478,-1.03,-1.33,0.22,0.35,9.83
1401488,-1.06,-1.27,0.20,0.11,9.78
1401498,-1.08,-1.25,0.24,-0.04,9.93
1401508,-1.07,-1.18,0.18,0.03,9.75
1401518,-1.13,-1.18,0.17,0.04,9.87
1401528,-1.15,-1.08,0.13,0.09,9.80
1401538,-1.19,-1.03,0.13,0.16,9.83
1401548,-1.26,-0.98,0.16,0.21,9.73
1401558,-1.30,-0.90,0.16,0.34,9.80
1401568,-1.23,-0.80,0.28,0.26,9.81
1401578,-1.17,-0.73,0.34,0.24,9.66
1401588,-1.00,-0.57,0.25,0.35,9.61
1401598,-0.85,-0.48,0.26,0.21,9.77
1401608,-0.77,-0.41,0.20,-0.00,9.79
1401618,-0.59,-0.36,0.13,-0.22,9.82
1401628,-0.48,-0.34,0.12,-0.38,9.82
1401638,-0.36,-0.32,0.16,-0.32,9.85
1401648,-0.28,-0.37,0.13,-0.20,9.83
1401658,-0.17,-0.35,0.13,-0.03,9.79
1401668,-0.16,-0.34,0.10,0.15,9.79
1401678,-0.10,-0.32,0.12,0.25,9.84
1401688,-0.06,-0.32,0.13,0.29,9.82
1401698,-0.04,-0.31,0.08,0.21,9.86
1401708,-0.02,-0.30,0.08,0.06,9.81
1401718,-0.01,-0.29,0.05,-0.09,9.88
1401728,-0.01,-0.35,0.12,-0.10,9.87
1401738,-0.01,-0.41,0.05,-0.11,9.90
1401748,-0.01,-0.36,0.11,-0.02,9.84
1401758,0.06,-0.40,0.14,0.09,9.86
1401768,0.04,-0.42,0.12,0.17,9.84
1401778,0.02,-0.39,0.16,0.25,9.77
1401788,0.08,-0.35,0.17,0.24,9.76
1401798,0.05,-0.34,0.16,0.22,9.81
1401808,0.08,-0.21,0.15,0.17,9.84
1401818,0.10,-0.19,0.14,0.10,9.82
1401828,0.13,-0.12,0.17,0.11,9.82
1401838,0.14,-0.01,0.13,0.09,9.81
1401848,0.14,-0.01,0.13,0.11,9.82
